The God Of Ponies [Animation],44,61.97%,71,
The Three Kingdoms,42,59.15%,71,
Derpy With A Knife,35,49.30%,71,
A Tribute.............,33,46.48%,71,
Bonds Of Justice ~ Story #2 - Rainbow Blues,24,33.80%,71,
The Journey Once More: Prologue | Once Upon A Time [PMV],19,26.76%,71,
Twilight Goes To Moon || MLP Animatic (feat. 4everfreebrony),16,22.54%,71,
I Thought Of Suicide And... (Official Music Video),15,21.13%,71,Tie determined randomly by Random.org
RAINBOW FACTORY l MLP Animation,15,21.13%,71,Tie determined randomly by Random.org
"MLP Sings ""The Music of the Night"" Animatic [Phantom of the Opera] 4/6",15,21.13%,71,Tie determined randomly by Random.org
[YTP] Trail Your Blazer,13,18.31%,71,Tie determined randomly by Random.org
[PMV] ğ‘¹ğ’†ğ’ğ’†ğ’ğ’ƒğ’†ğ’“ ğ’•ğ’‰ğ’† ğ‘ºğ’–ğ’ğ’ğ’†ğ’“,13,18.31%,71,"Tie determined randomly by Random.org, HM"
Fallout Equestria: Pony Life Edition (Animated Parody),10,14.08%,71,HM
My Tiny Pony - Mane 6 Compilation (+ New Scenes),8,11.27%,71,
Rarity And Sweeble,8,11.27%,71,
Celestia'S Dark Secret ğŸ,7,9.86%,71,
I'M The Bad Guy' Animatic - Song Cover - Lyric Video (Vocals By Starryflame And Silver Quill),6,8.45%,71,
"Tf5 ""Analypsis Anorgy""",6,8.45%,71,
[Hornyforest] Chrysalis Night Club,6,8.45%,71,
Twilight Sparkle As An Amazon Echo Alexa,6,8.45%,71,
Amwdw Inverted Shadow And Imposter Syndrome,6,8.45%,71,
Just A Day With Izzy Moonbow,5,7.04%,71,
Prince & Tw3Lv3 - 2013 [Mlp Parody],5,7.04%,71,
R/Place Brony Victory Anthem,5,7.04%,71,HM
Closet Bronies Basically,4,5.63%,71,
Pinkie Pie Raps (Behind The Scenes),4,5.63%,71,
ã€ğŸ…¿ğŸ…¼ğŸ†…ã€‘ğ™ğ™¥ğ™–ğ™§ğ™ ğ™¨ ğ™ğ™¡ğ™®,4,5.63%,71,HM
The Truth About The Crystals ğŸ’,4,5.63%,71,
The Alien Mare,3,4.23%,71,
What Happened? Mlp Animation,3,4.23%,71,
Trixie Fans Basically,3,,,
A Better Love Story Than Twilight 5: The Rise Of Starryflame [Mlp Audio Drama],3,,,
Twitch Vs Ponies In The Place War,3,,,
ã€Mlpã€‘Needy Pony Overload,3,,,
"Happy Birthday, Rainbow Dash [By ç‘å¡æˆ´å®‰]",3,,,
Mlp Tell Your Tale In A Nutshell,3,,,
Mlp Tell Your Tale Memes,3,,,
Gates Of Disorder (Fanmade Lyric Video / Pmv),3,,,
The Legion Of Doom Calls Jasper Ft. Dawillstanator/Thespio And Katie Patterson,2,,,
Pinkie Pie Dj #Ytpmv,2,,,
The Story Of The Bronies On R/Place 2022: In A Nutshell: Warning Spoilers And Stuff,2,,,
My Little Pony: Tell Your Tale ~ Sisters Take Flight ~ Episode Review,2,,,
Turnabout Special (April Fools),2,,,
How Bronies Reacted To My Little Pony: A New Generation (G5 Movie),2,,,
How Bronies Reacted To My Little Pony: Tell Your Tale (G5 Youtube Series),2,,,
Rainbow Factory | Mlp Animation,2,,,
[Fnf] Rainbow Dash Tylenol,2,,,
Top Ten Hottest My Little Pony Female Characters (Ft. Xanders_Wacky_Worlds),2,,,
The Truth About The Crystal Brighthouse ğŸ’,2,,,
What Is A Pony'S Sparkle? (Mlp Theory),2,,,
Everything Stays (Mlp Animatic),2,,,
Tomorrow Meme Animation [Mlp Sfm] [Sfm Ponies],2,,,
Why Ponies Never Truly Lost Magic (Mlp Theory),2,,,
[Fnf] Pinkie Can Can,2,,,
Easter Egg From Fluttershy [Mlp Sfm],2,,,
The Greatest Episodes Of My Little Pony! (Top 10 Imdb 2022),2,,,
The Lullaby Of Lightning Bliss - By Agatan (Ft. Flitterkriz & Stealingshad3Z),2,,,
Friday Night Funkin' Vs Fluttershy - Elements Of Insanity V2 Shed (Fnf Mod/My Little Pony: Shed.Mov),2,,,
[Fnf] Eoi (Shed Update),2,,,
Zap Apple Cider Commercial,2,,,
The Lost Media Of My Little Pony,2,,,
Why The Canterlot Guards Don'T Protect Celestia (Mlp Theory),2,,,
Meme Melody [Ytp],2,,,
The Truth About The Crystal Brighthouse,1,,,
Bonds Of Justice ~ Story#2 - Rainbow Blues,1,,,
Turnabout Special(April Fools),1,,,
Paranoid Pete Prank Calls Jasper Pie,1,,,
Toppest Poniest Videosest Of All Time(Est),1,,,
Mwdw Inverted Shadow And Imposter Syndrome,1,,,
My Little Pony: Tell Your Tale | Mane Melody | Full Episode,1,,,
Pinkie Race,1,,,
Finally Solving The Royal Guard,1,,,
Fnf Pinkie Race But There'S Three Pinkie Pies!,1,,,
Friendship Is Musical Vgm #2,1,,,
[Fnf] Antaponist Ep. 1 (Updated),1,,,
What If My Little Pony Equestria Girl Came To Netflix,1,,,
Collective Consciousness (Pmv) [The Cutie Re-Marked Adventures - Part 1],1,,,
"""Surface Pressure"" - Mlp Version - King Sombra - Mlp Pvm",1,,,
My Tiny Pony-Main 6 Complation,1,,,
The Unboxing Of Izzy,1,,,
My Little Pony But There'S Still No Context!,1,,,
(Fnf) Discord,1,,,
[Mlp Comic Dub] Mlp Fim Season 20 Finale (Comedy),1,,,
Mlp Animation - Ask Ponies - Princess Luna,1,,,
"4Everfreebrony - The Perfect Chair, The Perfect Book | Tranquil Tuesdays",1,,,
Rocket Surgery Mlp Animation,1,,,
Discord'S Casino Of Chaos April Fools Special Bloopers,1,,,
"Happy Birthday, Rainbow Dash",1,,,
Pony Polka (Smf) Ponies,1,,,
When You Open A Bag Of Candies In Class...,1,,,
Mlp Animation - Ask Ponies - Fluttershy,1,,,
My Little Pony: Tell Your Tale | Zipp'S Flight School | Full Episode,1,,,
Friendship Is Funny: Season 1 Episode 9,1,,,
[Mlp/Sfm] The Fallen Op | Meet The Fallen,1,,,
Mlp Sings â€œThe Music Of The Nightâ€ Animatic [Phantom Of The Opera],1,,,
My Little Pony A New Generation Is (The) Sh!T!,1,,,
Carrots,1,,,
The Changeling Conspiracy,1,,,
Ponies Vs Changelings 2,1,,,
Mlp:Fim | Full Pmv | Could Have Been Me,1,,,
The Answer To Pony Ageing,1,,,
Luna'S Friendship Score (Mlp In Real Life),1,,,
Mlp: Twilight And Friends Vs New Mlp,1,,,
Squid Game (Mlp Edition),1,,,
Tf5 â€œAnalypsis Anorgyâ€,1,,,
Discord Is Alive! Mlp G5 Theory,1,,,
S Discord Actually A Draconequus? (Mdt Part 2),1,,,
"Starlight Glimmer - ""Give Her All Of It"" | Sparta Vertex Remix",1,,,
[Mlp/Sfm] It Has To Be This Way,1,,,
List Of Pony Channels #1,1,,,
Twilight Sparkle Booping You Back [Mlp Sfm],1,,,
All Of The Fart Sounds || Mlp:Fim,1,,,
"[Sfm] My Russian Pony - Oh God, What A Man!",1,,,
"Injuries Abound! ""Prance"" Babscon 2022",1,,,
Fluttershy Vs. Nikocado Avocado,1,,,
Pony Tales Your Faithful Dispcle G4/G5 Sadfic,1,,,
Candid Canned: The Worst Things About Mlp,1,,,
Celesita'S Dark Secret,1,,,
Debunking Crazy Accusations,1,,,
"My Little Pony: A Maretime Bay Adventure Gameplay Walkthrough Part 1 (Ps4, Switch, Xb1)",1,,,
Collective Consciousness (Pmv),1,,,
Candid Canned:Could Luna Rule Alone?,1,,,
Are You Falling In Love (Mlp Animation Meme),1,,,
The Cutie Re-Marked Adventures - Collective Consciousness (Pmv - Part 1),1,,,
Prologue Animatic,1,,,
Upsies,1,,,
Fly Me To The Moon Music Video (Squid Game Mlp Edition),1,,,
Mlp: Luna'S Height Problem,1,,,
Fallout Equestria: The Animated Series Announcement Trailer,1,,,
Everything Wong With Just For Sidekicks,1,,,
What Is A Spirit?,1,,,
[Fnf] Eye Candy,1,,,
Princess Luna Vs Freddy Krueger. Rap Battle Arena. (Feat. K.C. And Fightmarker),1,,,
Mlp - To Meet A Kirin,1,,,
My Little Pony'S Battle - The Brony Faction,1,,,
The Answer To Pony Ageing!,1,,,
Scootaloo Middle,1,,,
Welcome To Happiness And Peace Of Mind Committee Animatic || Mlp Mane 6 [By æ¸…æ°´æ¯é¸¡æ°´æ¯å›],1,,,
Just Be Me,1,,,
[Fnf] Discord,1,,,
Mlp But Boring - The Unboxing Of Izzy,1,,,
Very Random Mlp G5 Memes (Volume 9),1,,,
Ponies Watching Paint Dry,1,,,