Ponies Unraveled - Izzy's Rocket [Animation],28,82.35%,34,
Twilight Meets Twilight,26,76.47%,34,
(Animation) Business Pony,24,70.59%,34,
Angry Brony,17,50.00%,34,
Brony 2022,16,47.06%,34,
Blue Ponies Are Best,15,44.12%,34,
Rarity Catches a Cold - MLP Animatic Comic,14,41.18%,34,Tie broken randomly by computer
SIGMA MARE l MLP Parody Animation,14,41.18%,34,Tie broken randomly by computer
STREAMER TRIXIE l MLP Parody Animation,14,41.18%,34,Tie broken randomly by computer; creator already placed higher.
Rap Battle: Fizzy Vs Izzy!,13,38.24%,34,
Spark Sprout - MLP ANIMATION,11,32.35%,34,
Starlight: How Long Will I Live?,11,32.35%,34,HM
[PMV Collab] - One Thing,9,26.47%,34,HM
10 Years Of Bronydom,8,23.53%,34,HM
The Commission L Mlp Parody Animation,7,20.59%,34,
Mlp Comic - What Your Pet Says About You,7,20.59%,34,
(Sfm/Mlp) There Can Be Only One,6,17.65%,34,
Tennis Star,4,11.76%,34,
Sfm Ponies Rewind 2022: Partying Into The Multi Verse,4,11.76%,34,
The Forever Weed Brownie L Mlp Parody Animation,4,11.76%,34,
Celestias Flaws And Failures (Feat: @Cantersoft ),3,8.82%,34,
Magic Lesson: Summoning A Demon - Part 1,3,8.82%,34,
Mane Salon Time Nightmares | Edventures | Episode: 7,2,5.88%,34,
Memories Of Moonlight【Mlp Animation】Trailer Of Large-Scale With Luna,2,5.88%,34,
Pinkie Is Excited About Cider,2,5.88%,34,
Ytp: Pinkie Pie Scams You With Clickbait,2,5.88%,34,
How Bronies Reacted To Winter Wish Day (G5 Christmas Special),2,5.88%,34,
Super Sayen Squirrel,2,5.88%,34,
Tf2 Analysis: “Change Of Mind (Part 1)”,2,5.88%,34,
Moonbow ♬,2,5.88%,34,
Flip,1,,34,
Find Your Flame Goes With Everything | Twilight Vs Tirek (Mlp),1,,34,
Elements Of Justice: The Meme Compilation Pt.1,1,,34,
My Little Pony S1 Hd [Official],1,,34,
Equestria Girls Theme (Jth Remix),1,,34,
Unexpected Item,1,,34,
Run To Break Free - My Little Pony: Equestria Girls | Better Together (Pone177 Remix),1,,34,
"How Bronies Reacted To Portrait For A Princess (Make Your Mark Chapter 2, Episode 3)",1,,,
[Mlp Animation] Kosh'S Little Tale | Part 1,1,,,
Brony Enojado,1,,,
[Fnf] Endless (Mlp Sonic.Exe),1,,,
Angry Brony (But There'S No Music),1,,,
[Sfm\Ponies] The Fallen: So Cold Pmv (Collab With @Itzspecky ),1,,,
Hysterical Revisionism,1,,,
The Next Member Of The Out Of Our Manes Podcast,1,,,
Why My Little Pony Needs The Cutie Mark Crusaders,1,,,
Fallout Equestria Paint Adventure' Animated Pages (2013-2014),1,,,
Twilight Gets Sexually Assaulted By A Creeper,1,,,
Meet The Heavy [Fluttershy Edition],1,,,
Equestria Girls: The History Of Hasbro'S Beautiful Mess,1,,,
"[Mlp Animatic] ""One""",1,,,
A Critique Of Ponygram (Mlp Video Essay),1,,,
What Is Anthropology?,1,,,
【Music】No Matter What (10 Year Anniversary — 2022) Ft. @Sylverstripe584 & @Namiivocals,1,,,